\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.403718,0.385319,0.331254,0.244979,0.132176,0
0.2,0.337032,0.322088,0.278085,0.207364,0.113367,0
0.3,0.298843,0.28606,0.248184,0.186547,0.10309,0
0.4,0.277392,0.26583,0.231413,0.174886,0.09734,0
0.5,0.26536,0.254485,0.222007,0.168348,0.094116,0
0.6,0.258614,0.248123,0.216733,0.164681,0.0923081,0
0.7,0.25483,0.244555,0.213776,0.162625,0.0912943,0
0.8,0.252709,0.242554,0.212117,0.161472,0.0907258,0
0.9,0.251519,0.241432,0.211187,0.160825,0.090407,0
1,0.250852,0.240803,0.210666,0.160463,0.0902282,0
