t,f1,f2
0,0.533333,0.299538
0.005,0.53312,0.283029
0.01,0.531488,0.267616
0.015,0.529289,0.253247
0.02,0.526533,0.239854
0.025,0.523451,0.227364
0.03,0.520045,0.215704
0.035,0.516428,0.204802
0.04,0.512597,0.194594
0.045,0.508622,0.185017
0.05,0.504501,0.176017
0.055,0.50028,0.167545
0.06,0.495956,0.159556
0.065,0.491564,0.152012
0.07,0.487101,0.144877
0.075,0.482592,0.13812
0.08,0.478035,0.131714
0.085,0.473451,0.125633
0.09,0.468836,0.119857
0.095,0.464207,0.114364
0.1,0.459561,0.109138
0.105,0.454913,0.104161
0.11,0.450259,0.0994205
0.115,0.44561,0.0949016
0.12,0.440965,0.0905924
0.125,0.436332,0.0864818
0.13,0.43171,0.0825593
0.135,0.427106,0.0788154
0.14,0.422518,0.0752412
0.145,0.417953,0.0718283
0.15,0.413409,0.0685691
0.155,0.408891,0.0654561
0.16,0.404398,0.0624826
0.165,0.399935,0.0596421
0.17,0.395499,0.0569286
0.175,0.391094,0.0543363
0.18,0.38672,0.0518597
0.185,0.38238,0.0494936
0.19,0.378072,0.0472332
0.195,0.373799,0.0450738
0.2,0.369559,0.0430109
0.205,0.365356,0.0410403
0.21,0.361188,0.0391579
0.215,0.357057,0.0373599
0.22,0.352961,0.0356426
0.225,0.348903,0.0340024
0.23,0.344882,0.032436
0.235,0.340899,0.0309402
0.24,0.336953,0.0295118
0.245,0.333045,0.0281479
0.25,0.329174,0.0268457
0.255,0.325342,0.0256025
0.26,0.321547,0.0244157
0.265,0.317791,0.0232828
0.27,0.314072,0.0222015
0.275,0.310391,0.0211694
0.28,0.306747,0.0201843
0.285,0.303142,0.0192443
0.29,0.299574,0.0183473
0.295,0.296043,0.0174913
0.3,0.29255,0.0166747
0.305,0.289094,0.0158955
0.31,0.285674,0.0151522
0.315,0.282292,0.014443
0.32,0.278945,0.0137666
0.325,0.275636,0.0131214
0.33,0.272362,0.012506
0.335,0.269124,0.0119191
0.34,0.265921,0.0113593
0.345,0.262755,0.0108255
0.35,0.259623,0.0103165
0.355,0.256526,0.00983114
0.36,0.253463,0.00936834
0.365,0.250435,0.00892708
0.37,0.247441,0.00850637
0.375,0.244481,0.00810529
0.38,0.241554,0.00772292
0.385,0.238661,0.00735841
0.39,0.2358,0.00701095
0.395,0.232972,0.00667974
0.4,0.230177,0.00636404
0.405,0.227413,0.00606314
0.41,0.224681,0.00577634
0.415,0.221981,0.005503
0.42,0.219312,0.0052425
0.425,0.216673,0.00499423
0.43,0.214066,0.00475764
0.435,0.211488,0.00453218
0.44,0.20894,0.00431733
0.445,0.206423,0.0041126
0.45,0.203934,0.00391752
0.455,0.201475,0.00373164
0.46,0.199044,0.00355453
0.465,0.196642,0.00338577
0.47,0.194268,0.00322498
0.475,0.191922,0.00307179
0.48,0.189604,0.00292584
0.485,0.187313,0.0027868
0.49,0.185049,0.00265432
0.495,0.182812,0.00252812
0.5,0.180601,0.00240789
0.505,0.178416,0.00229336
0.51,0.176257,0.00218425
0.515,0.174124,0.00208031
0.52,0.172016,0.0019813
0.525,0.169934,0.00188698
0.53,0.167876,0.00179714
0.535,0.165842,0.00171156
0.54,0.163833,0.00163005
0.545,0.161848,0.0015524
0.55,0.159886,0.00147844
0.555,0.157948,0.001408
0.56,0.156033,0.0013409
0.565,0.154141,0.00127699
0.57,0.152272,0.00121612
