\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0716405,0.0681736,0.0590569,0.0477067,0.0384562,0.0348989
0.2,0.0601768,0.0588695,0.0554453,0.0512071,0.0477658,0.0464229
0.3,0.0558757,0.0553855,0.0541,0.0525035,0.0511937,0.0506524
0.4,0.0542558,0.0540691,0.0535776,0.0529609,0.0524405,0.0521951
0.5,0.0536309,0.0535567,0.0533595,0.053106,0.0528782,0.0527424
0.6,0.0533748,0.0533423,0.0532543,0.0531354,0.0530161,0.0529209
0.7,0.0532555,0.0532385,0.0531909,0.0531219,0.0530429,0.052963
0.8,0.0531869,0.0531756,0.0531431,0.0530927,0.0530287,0.0529545
0.9,0.0531371,0.053128,0.0531011,0.0530577,0.0529993,0.0529274
1,0.0530945,0.0530861,0.0530613,0.0530206,0.0529644,0.0528934
