\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0716328,0.0681663,0.0590521,0.0477079,0.038465,0.034909
0.2,0.0601695,0.0588636,0.055443,0.0512093,0.0477719,0.0464297
0.3,0.0558716,0.0553822,0.0540987,0.0525048,0.0511971,0.0506562
0.4,0.0542538,0.0540675,0.053577,0.0529615,0.0524422,0.0521969
0.5,0.05363,0.053556,0.0533593,0.0531063,0.052879,0.0527432
0.6,0.0533744,0.053342,0.0532542,0.0531356,0.0530165,0.0529212
0.7,0.0532553,0.0532383,0.0531909,0.053122,0.0530431,0.0529631
0.8,0.0531868,0.0531756,0.0531431,0.0530927,0.0530288,0.0529545
0.9,0.0531371,0.053128,0.0531011,0.0530577,0.0529994,0.0529274
1,0.0530945,0.0530861,0.0530614,0.0530206,0.0529645,0.0528934
