t,f1,f2
0,0.0533333,2.99538e-05
0.005,0.0533335,2.97371e-05
0.01,0.0533336,2.95224e-05
0.015,0.0533338,2.93097e-05
0.02,0.0533339,2.90991e-05
0.025,0.0533341,2.88904e-05
0.03,0.0533342,2.86836e-05
0.035,0.0533344,2.84789e-05
0.04,0.0533345,2.8276e-05
0.045,0.0533346,2.8075e-05
0.05,0.0533348,2.78759e-05
0.055,0.0533349,2.76786e-05
0.06,0.0533351,2.74831e-05
0.065,0.0533352,2.72894e-05
0.07,0.0533353,2.70975e-05
0.075,0.0533355,2.69073e-05
0.08,0.0533356,2.67188e-05
0.085,0.0533357,2.6532e-05
0.09,0.0533359,2.63469e-05
0.095,0.053336,2.61634e-05
0.1,0.0533361,2.59815e-05
0.105,0.0533363,2.58012e-05
0.11,0.0533364,2.56224e-05
0.115,0.0533365,2.54452e-05
0.12,0.0533366,2.52695e-05
0.125,0.0533368,2.50952e-05
0.13,0.0533369,2.49224e-05
0.135,0.053337,2.47511e-05
0.14,0.0533371,2.45811e-05
0.145,0.0533373,2.44125e-05
0.15,0.0533374,2.42453e-05
0.155,0.0533375,2.40794e-05
0.16,0.0533376,2.39148e-05
0.165,0.0533377,2.37515e-05
0.17,0.0533379,2.35895e-05
0.175,0.053338,2.34286e-05
0.18,0.0533381,2.3269e-05
0.185,0.0533382,2.31106e-05
0.19,0.0533383,2.29534e-05
0.195,0.0533384,2.27973e-05
0.2,0.0533386,2.26423e-05
0.205,0.0533387,2.24884e-05
0.21,0.0533388,2.23356e-05
0.215,0.0533389,2.21839e-05
0.22,0.053339,2.20332e-05
0.225,0.0533391,2.18835e-05
0.23,0.0533392,2.17348e-05
0.235,0.0533393,2.15871e-05
0.24,0.0533394,2.14404e-05
0.245,0.0533395,2.12945e-05
0.25,0.0533396,2.11496e-05
0.255,0.0533398,2.10056e-05
0.26,0.0533399,2.08625e-05
0.265,0.05334,2.07202e-05
0.27,0.0533401,2.05788e-05
0.275,0.0533402,2.04382e-05
0.28,0.0533403,2.02984e-05
0.285,0.0533404,2.01594e-05
0.29,0.0533405,2.00212e-05
0.295,0.0533406,1.98837e-05
0.3,0.0533407,1.97469e-05
0.305,0.0533408,1.96109e-05
0.31,0.0533409,1.94756e-05
0.315,0.053341,1.9341e-05
0.32,0.0533411,1.9207e-05
0.325,0.0533412,1.90737e-05
0.33,0.0533412,1.89411e-05
0.335,0.0533413,1.88091e-05
0.34,0.0533414,1.86777e-05
0.345,0.0533415,1.85469e-05
0.35,0.0533416,1.84167e-05
0.355,0.0533417,1.8287e-05
0.36,0.0533418,1.8158e-05
0.365,0.0533419,1.80294e-05
0.37,0.053342,1.79014e-05
0.375,0.0533421,1.77739e-05
0.38,0.0533422,1.7647e-05
0.385,0.0533422,1.75205e-05
0.39,0.0533423,1.73945e-05
0.395,0.0533424,1.7269e-05
0.4,0.0533425,1.71439e-05
0.405,0.0533426,1.70193e-05
0.41,0.0533427,1.68951e-05
0.415,0.0533428,1.67714e-05
0.42,0.0533428,1.6648e-05
0.425,0.0533429,1.65251e-05
0.43,0.053343,1.64026e-05
0.435,0.0533431,1.62804e-05
0.44,0.0533432,1.61587e-05
0.445,0.0533433,1.60372e-05
0.45,0.0533433,1.59162e-05
0.455,0.0533434,1.57955e-05
0.46,0.0533435,1.56751e-05
0.465,0.0533436,1.55551e-05
0.47,0.0533436,1.54354e-05
0.475,0.0533437,1.5316e-05
0.48,0.0533438,1.51969e-05
0.485,0.0533439,1.50781e-05
0.49,0.053344,1.49595e-05
0.495,0.053344,1.48413e-05
0.5,0.0533441,1.47233e-05
0.505,0.0533442,1.46056e-05
0.51,0.0533442,1.44882e-05
0.515,0.0533443,1.4371e-05
0.52,0.0533444,1.42541e-05
0.525,0.0533445,1.41374e-05
0.53,0.0533445,1.40209e-05
0.535,0.0533446,1.39046e-05
0.54,0.0533447,1.37886e-05
0.545,0.0533447,1.36728e-05
0.55,0.0533448,1.35572e-05
0.555,0.0533449,1.34418e-05
0.56,0.0533449,1.33265e-05
0.565,0.053345,1.32115e-05
0.57,0.0533451,1.30967e-05
0.575,0.0533451,1.2982e-05
0.58,0.0533452,1.28675e-05
0.585,0.0533453,1.27532e-05
0.59,0.0533453,1.26391e-05
0.595,0.0533454,1.25251e-05
0.6,0.0533455,1.24112e-05
0.605,0.0533455,1.22976e-05
0.61,0.0533456,1.2184e-05
0.615,0.0533456,1.20706e-05
0.62,0.0533457,1.19574e-05
0.625,0.0533458,1.18443e-05
0.63,0.0533458,1.17313e-05
0.635,0.0533459,1.16185e-05
0.64,0.0533459,1.15057e-05
0.645,0.053346,1.13931e-05
0.65,0.0533461,1.12806e-05
0.655,0.0533461,1.11683e-05
0.66,0.0533462,1.1056e-05
0.665,0.0533462,1.09439e-05
0.67,0.0533463,1.08319e-05
0.675,0.0533463,1.07199e-05
0.68,0.0533464,1.06081e-05
0.685,0.0533464,1.04964e-05
0.69,0.0533465,1.03847e-05
0.695,0.0533465,1.02732e-05
0.7,0.0533466,1.01618e-05
0.705,0.0533466,1.00504e-05
0.71,0.0533467,9.93916e-06
0.715,0.0533467,9.82798e-06
0.72,0.0533468,9.7169e-06
0.725,0.0533468,9.6059e-06
0.73,0.0533469,9.49497e-06
0.735,0.0533469,9.38413e-06
0.74,0.053347,9.27337e-06
0.745,0.053347,9.16269e-06
0.75,0.0533471,9.05208e-06
0.755,0.0533471,8.94155e-06
0.76,0.0533472,8.8311e-06
0.765,0.0533472,8.72071e-06
0.77,0.0533472,8.6104e-06
0.775,0.0533473,8.50016e-06
0.78,0.0533473,8.38999e-06
0.785,0.0533474,8.27989e-06
0.79,0.0533474,8.16985e-06
0.795,0.0533475,8.05989e-06
0.8,0.0533475,7.94999e-06
0.805,0.0533475,7.84016e-06
0.81,0.0533476,7.73039e-06
0.815,0.0533476,7.62069e-06
0.82,0.0533476,7.51106e-06
0.825,0.0533477,7.40149e-06
0.83,0.0533477,7.29199e-06
0.835,0.0533478,7.18255e-06
0.84,0.0533478,7.07317e-06
0.845,0.0533478,6.96386e-06
0.85,0.0533479,6.85462e-06
0.855,0.0533479,6.74543e-06
0.86,0.0533479,6.63631e-06
0.865,0.053348,6.52726e-06
0.87,0.053348,6.41827e-06
0.875,0.053348,6.30935e-06
0.88,0.0533481,6.20049e-06
0.885,0.0533481,6.09169e-06
0.89,0.0533481,5.98296e-06
0.895,0.0533481,5.8743e-06
0.9,0.0533482,5.7657e-06
0.905,0.0533482,5.65716e-06
0.91,0.0533482,5.5487e-06
0.915,0.0533483,5.4403e-06
0.92,0.0533483,5.33197e-06
0.925,0.0533483,5.22371e-06
0.93,0.0533483,5.11552e-06
0.935,0.0533484,5.00739e-06
0.94,0.0533484,4.89934e-06
0.945,0.0533484,4.79136e-06
0.95,0.0533484,4.68345e-06
0.955,0.0533485,4.57561e-06
0.96,0.0533485,4.46784e-06
0.965,0.0533485,4.36015e-06
