t,f1,f2
0,0.533333,0.299538
0.01,0.531806,0.267848
0.02,0.526849,0.240231
0.03,0.520683,0.216178
0.04,0.513357,0.195138
0.05,0.505483,0.176616
0.06,0.497059,0.160199
0.07,0.488372,0.145555
0.08,0.479412,0.13242
0.09,0.470346,0.120584
0.1,0.461161,0.10988
0.11,0.451965,0.10017
0.12,0.442746,0.0913444
0.13,0.433577,0.0833085
0.14,0.424446,0.0759828
0.15,0.415406,0.0692991
0.16,0.406444,0.0631975
0.17,0.3976,0.0576255
0.18,0.388861,0.052536
0.19,0.380256,0.0478871
0.2,0.371774,0.0436409
0.21,0.363437,0.0397628
0.22,0.355232,0.0362217
0.23,0.347179,0.0329889
0.24,0.339266,0.0300383
0.25,0.331506,0.0273459
0.26,0.323889,0.0248899
0.27,0.316426,0.0226501
0.28,0.309107,0.020608
0.29,0.301941,0.0187467
0.3,0.294917,0.0170506
0.31,0.288044,0.0155054
0.32,0.281312,0.0140982
0.33,0.274727,0.0128168
0.34,0.268281,0.0116502
0.35,0.261977,0.0105885
0.36,0.255809,0.00962244
0.37,0.249779,0.00874349
0.38,0.243881,0.00794399
0.39,0.238117,0.00721687
0.4,0.232479,0.0065557
0.41,0.226971,0.00595458
0.42,0.221587,0.00540814
0.43,0.216326,0.00491147
0.44,0.211184,0.0044601
0.45,0.206162,0.00404994
0.46,0.201254,0.00367727
0.47,0.19646,0.0033387
0.48,0.191777,0.00303115
0.49,0.187203,0.00275178
0.5,0.182735,0.00249805
0.51,0.178372,0.00226761
0.52,0.17411,0.00205835
0.53,0.169949,0.00186832
0.54,0.165885,0.00169578
0.55,0.161918,0.00153913
0.56,0.158042,0.0013969
0.57,0.15426,0.00126778
0.58,0.150565,0.00115057
0.59,0.146959,0.00104416
0.6,0.143438,0.000947579
0.61,0.140001,0.00085991
0.62,0.136644,0.000780336
0.63,0.133368,0.000708114
0.64,0.13017,0.000642564
0.65,0.127048,0.000583073
0.66,0.123999,0.000529082
0.67,0.121024,0.000480084
0.68,0.11812,0.000435618
0.69,0.115285,0.000395266
0.7,0.112517,0.000358648
0.71,0.109816,0.000325419
0.72,0.107179,0.000295266
0.73,0.104606,0.000267904
0.74,0.102093,0.000243076
0.75,0.0996415,0.000220547
0.76,0.097248,0.000200105
0.77,0.094912,0.000181556
0.78,0.0926318,0.000164726
0.79,0.0904064,0.000149455
0.8,0.0882341,0.000135599
0.81,0.0861141,0.000123027
0.82,0.0840448,0.00011162
0.83,0.0820252,0.00010127
0.84,0.0800539,9.18795e-05
0.85,0.07813,8.33595e-05
0.86,0.0762522,7.56293e-05
0.87,0.0744195,6.86158e-05
0.88,0.0726307,6.22524e-05
0.89,0.0708849,5.6479e-05
0.9,0.069181,5.1241e-05
0.91,0.0675181,4.64886e-05
0.92,0.065895,4.21769e-05
0.93,0.0643109,3.8265e-05
0.94,0.0627649,3.47158e-05
0.95,0.061256,3.14958e-05
0.96,0.0597834,2.85744e-05
0.97,0.0583461,2.5924e-05
0.98,0.0569434,2.35194e-05
0.99,0.0555743,2.13377e-05
1,0.0542382,1.93585e-05
