\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.403768,0.38534,0.331223,0.244899,0.132156,0
0.2,0.336974,0.322031,0.278033,0.207323,0.113348,0
0.3,0.298787,0.286007,0.248139,0.186516,0.103071,0
0.4,0.277349,0.26579,0.231379,0.174863,0.0973301,0
0.5,0.265331,0.254457,0.221984,0.168331,0.0941077,0
0.6,0.258594,0.248104,0.216718,0.16467,0.0923026,0
0.7,0.254817,0.244543,0.213766,0.162618,0.0912911,0
0.8,0.2527,0.242546,0.212111,0.161467,0.0907234,0
0.9,0.251514,0.241427,0.211183,0.160823,0.0904058,0
1,0.250848,0.2408,0.210663,0.160461,0.0902273,0
