\(t\),\({x=0.0}\),\({x=0.2}\),\({x=0.4}\),\({x=0.6}\),\({x=0.8}\),\({x=1.0}\)
0.0,nan,nan,nan,nan,nan,nan
0.1,4.166667,3.5,3.444444,4.444444,1.538462,nan
0.2,4.142857,4.071429,4.0,3.727273,3.8,nan
0.3,3.733333,4.076923,4.090909,3.875,4.75,nan
0.4,4.3,4.0,4.25,3.833333,3.535714,nan
0.5,3.625,4.0,3.833333,4.25,4.15,nan
0.6,4.0,4.75,3.75,3.666667,3.928571,nan
0.7,3.25,4.0,5.0,3.5,3.555556,nan
0.8,4.5,4.0,3.0,5.0,4.0,nan
0.9,5.0,2.5,4.0,2.0,3.0,nan
1.0,4.0,3.0,inf,inf,3.0,nan
