\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,1,0.9216,0.7056,0.4096,0.1296,0
0.1,0.748827,0.704499,0.582905,0.410339,0.212816,0.0138616
0.2,0.586186,0.556153,0.470467,0.340499,0.180744,0.0119549
0.3,0.461891,0.439087,0.373317,0.271834,0.144993,0.00962029
0.4,0.363315,0.345598,0.294311,0.21472,0.114701,0.00761827
0.5,0.285319,0.271477,0.231347,0.168918,0.0902898,0.00600006
0.6,0.223868,0.213034,0.181599,0.132643,0.0709207,0.00471471
0.7,0.175574,0.167087,0.142454,0.104069,0.0556504,0.00370089
0.8,0.137669,0.131018,0.11171,0.0816165,0.0436468,0.00290379
0.9,0.107936,0.102723,0.087588,0.0639951,0.0342243,0.00227803
1,0.0846205,0.0805339,0.0686694,0.0501734,0.0268329,0.00178714
