\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0.0,1.0,0.9216,0.7056,0.4096,0.1296,0.0
0.1,0.752574,0.713481,0.611253,0.482636,0.366705,0.284594
0.2,0.63496,0.615659,0.562263,0.485839,0.39847,0.308285
0.3,0.567707,0.554392,0.516187,0.457668,0.384719,0.303051
0.4,0.516395,0.505722,0.474726,0.426225,0.364225,0.293243
0.5,0.473224,0.464296,0.43825,0.397178,0.344175,0.282925
0.6,0.436086,0.428514,0.406377,0.37132,0.325832,0.272944
0.7,0.403973,0.397507,0.378573,0.348495,0.3093,0.263493
0.8,0.376136,0.370583,0.354301,0.328368,0.294446,0.254614
0.9,0.351939,0.347145,0.333068,0.310594,0.281097,0.246304
1.0,0.330834,0.326671,0.314436,0.294858,0.269079,0.238543
