\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0961286,0.0887665,0.0686027,0.0413999,0.01669,0.00631449
0.2,0.092495,0.0856117,0.0668845,0.0420466,0.0202158,0.0113733
0.3,0.0890998,0.0826953,0.0653939,0.042807,0.023408,0.0156984
0.4,0.0859429,0.0800138,0.0641039,0.0436042,0.026281,0.0194761
0.5,0.0830222,0.0775588,0.0629827,0.0443941,0.0288667,0.0228138
0.6,0.0803324,0.075318,0.0620015,0.0451529,0.0311962,0.0257841
0.7,0.0778648,0.073277,0.061137,0.0458683,0.0332975,0.0284403
0.8,0.0756079,0.0714207,0.0603707,0.0465348,0.0351947,0.0308237
0.9,0.0735486,0.069734,0.059688,0.0471509,0.036909,0.0329674
1,0.0716729,0.0682026,0.0590773,0.0477171,0.0384589,0.034899
