t,x1,x2
4.41837,0.0129271,0.0571169
4.42461,0.0132886,0.0587969
4.43085,0.0136607,0.0605286
4.43674,0.0140226,0.0622145
4.44264,0.0143945,0.0639495
4.44854,0.0147768,0.065735
4.45443,0.0151698,0.0675726
4.46033,0.0155737,0.0694639
4.46623,0.015989,0.0714105
4.47212,0.0164159,0.0734141
4.47802,0.0168549,0.0754763
4.4836,0.0172818,0.0774849
4.48918,0.0177202,0.0795493
4.49477,0.0181702,0.081671
4.50035,0.0186323,0.0838519
4.50593,0.0191067,0.0860935
4.51152,0.0195938,0.0883977
4.5171,0.0200939,0.0907663
4.52268,0.0206075,0.0932011
4.52798,0.0211077,0.0955752
4.53328,0.0216206,0.0980125
4.53858,0.0221467,0.100515
4.54388,0.0226862,0.103083
4.54918,0.0232395,0.105721
4.55448,0.0238069,0.108428
4.55978,0.0243889,0.111208
4.56508,0.0249858,0.114062
4.57038,0.0255981,0.116993
4.5754,0.0261921,0.11984
4.58042,0.0268007,0.122758
4.58543,0.027424,0.125751
4.59045,0.0280625,0.12882
4.59547,0.0287167,0.131967
4.60048,0.0293868,0.135194
4.6055,0.0300733,0.138503
4.61052,0.0307766,0.141896
4.61554,0.0314972,0.145377
4.62029,0.0321968,0.148759
4.62505,0.0329127,0.152223
4.62981,0.0336453,0.155771
4.63456,0.0343949,0.159406
4.63932,0.0351621,0.163128
4.64408,0.0359472,0.166942
4.64884,0.0367506,0.170848
4.65359,0.0375729,0.174849
4.65835,0.0384144,0.178948
4.66311,0.0392756,0.183147
4.66761,0.040109,0.187213
4.67211,0.0409609,0.191374
4.67661,0.0418317,0.195631
4.68111,0.042722,0.199986
4.68561,0.043632,0.204443
4.69011,0.0445623,0.209002
4.69461,0.0455134,0.213668
4.69911,0.0464857,0.218442
4.70361,0.0474798,0.223327
4.70811,0.0484961,0.228325
4.71238,0.0494804,0.23317
4.71664,0.0504855,0.238122
4.72091,0.051512,0.243184
4.72518,0.0525603,0.248357
4.72944,0.053631,0.253644
4.73371,0.0547244,0.259049
4.73797,0.0558411,0.264574
4.74224,0.0569817,0.270221
4.7465,0.0581467,0.275993
4.75077,0.0593365,0.281894
4.75504,0.0605518,0.287926
4.75907,0.0617254,0.293756
4.76311,0.0629228,0.299708
4.76714,0.0641445,0.305786
4.77118,0.065391,0.311992
4.77521,0.0666628,0.318329
4.77925,0.0679604,0.3248
4.78328,0.0692845,0.331407
4.78732,0.0706354,0.338154
4.79136,0.0720139,0.345044
4.79539,0.0734205,0.35208
4.79943,0.0748558,0.359265
4.80325,0.0762433,0.366216
4.80708,0.0776576,0.373306
4.8109,0.0790994,0.38054
4.81473,0.0805691,0.387918
4.81855,0.0820674,0.395446
4.82238,0.0835947,0.403125
4.8262,0.0851516,0.410959
4.83003,0.0867389,0.418951
4.83385,0.088357,0.427105
4.83768,0.0900066,0.435423
4.8415,0.0916884,0.44391
4.84533,0.093403,0.452568
4.84895,0.0950566,0.460925
4.85257,0.0967409,0.469442
4.85619,0.0984562,0.478122
4.85981,0.100203,0.486969
4.86343,0.101983,0.495986
4.86705,0.103795,0.505176
4.87067,0.105641,0.514543
4.87429,0.107521,0.524091
4.87791,0.109436,0.533822
4.88154,0.111387,0.54374
4.88516,0.113374,0.55385
4.88878,0.115398,0.564155
4.89221,0.117352,0.574112
4.89564,0.119341,0.584251
4.89908,0.121365,0.594576
4.90251,0.123424,0.60509
4.90595,0.125521,0.615797
4.90938,0.127654,0.626701
4.91281,0.129825,0.637804
4.91625,0.132034,0.649112
4.91968,0.134283,0.660628
4.92311,0.136571,0.672356
4.92655,0.1389,0.6843
4.92998,0.141271,0.696464
4.93342,0.143684,0.708852
4.93667,0.146009,0.720798
4.93992,0.148373,0.732953
4.94317,0.150778,0.74532
4.94643,0.153223,0.757904
4.94968,0.155709,0.770708
4.95293,0.158237,0.783737
4.95619,0.160808,0.796994
4.95944,0.163422,0.810483
4.96269,0.166081,0.824209
4.96595,0.168785,0.838176
4.9692,0.171534,0.852388
4.97245,0.17433,0.86685
4.9757,0.177174,0.881566
4.97879,0.179918,0.895774
4.98188,0.182706,0.910219
4.98497,0.185539,0.924906
4.98805,0.188418,0.939838
4.99114,0.191343,0.95502
4.99423,0.194315,0.970456
4.99732,0.197336,0.986151
5,0.2,1
