t,f1,f2
0,0.0533333,2.99538e-05
0.005,0.0533335,2.78659e-05
0.01,0.0533336,2.59029e-05
0.015,0.0533337,2.39446e-05
0.02,0.0533339,2.18763e-05
0.025,0.053334,1.95857e-05
0.03,0.053334,1.69953e-05
0.035,0.0533341,1.4027e-05
0.04,0.0533342,1.06456e-05
0.045,0.0533342,6.80533e-06
0.05,0.0533343,2.50571e-06
0.055,0.0533343,-2.27383e-06
0.06,0.0533342,-7.50841e-06
0.065,0.0533342,-1.32011e-05
0.07,0.0533341,-1.93099e-05
0.075,0.053334,-2.5827e-05
0.08,0.0533338,-3.26999e-05
0.085,0.0533337,-3.99149e-05
0.09,0.0533334,-4.74143e-05
0.095,0.0533332,-5.51822e-05
0.1,0.0533329,-6.31594e-05
0.105,0.0533326,-7.13306e-05
0.11,0.0533322,-7.96376e-05
0.115,0.0533318,-8.80674e-05
0.12,0.0533313,-9.65647e-05
0.125,0.0533308,-0.00010512
0.13,0.0533303,-0.000113681
0.135,0.0533297,-0.000122243
0.14,0.053329,-0.000130758
0.145,0.0533284,-0.000139225
0.15,0.0533276,-0.000147601
0.155,0.0533269,-0.000155888
0.16,0.0533261,-0.000164048
0.165,0.0533252,-0.000172087
0.17,0.0533244,-0.000179972
0.175,0.0533234,-0.000187709
0.18,0.0533225,-0.000195271
0.185,0.0533215,-0.000202669
0.19,0.0533205,-0.000209876
0.195,0.0533194,-0.000216905
0.2,0.0533183,-0.000223735
0.205,0.0533172,-0.00023038
0.21,0.053316,-0.000236821
0.215,0.0533148,-0.000243073
0.22,0.0533136,-0.00024912
0.225,0.0533123,-0.000254978
0.23,0.053311,-0.000260633
0.235,0.0533097,-0.000266102
0.24,0.0533084,-0.000271372
0.245,0.053307,-0.00027646
0.25,0.0533056,-0.000281356
0.255,0.0533042,-0.000286076
0.26,0.0533027,-0.000290611
0.265,0.0533013,-0.000294979
0.27,0.0532998,-0.00029917
0.275,0.0532983,-0.000303201
0.28,0.0532967,-0.000307065
0.285,0.0532952,-0.000310778
0.29,0.0532936,-0.000314333
0.295,0.0532921,-0.000317747
0.3,0.0532905,-0.000321011
0.305,0.0532889,-0.000324143
0.31,0.0532872,-0.000327136
0.315,0.0532856,-0.000330005
0.32,0.0532839,-0.000332745
0.325,0.0532823,-0.000335369
0.33,0.0532806,-0.000337873
0.335,0.0532789,-0.000340271
0.34,0.0532772,-0.000342556
0.345,0.0532754,-0.000344743
0.35,0.0532737,-0.000346827
0.355,0.053272,-0.00034882
0.36,0.0532702,-0.000350717
0.365,0.0532685,-0.000352531
0.37,0.0532667,-0.000354257
0.375,0.0532649,-0.000355906
0.38,0.0532631,-0.000357474
0.385,0.0532614,-0.000358972
0.39,0.0532596,-0.000360395
0.395,0.0532578,-0.000361755
0.4,0.0532559,-0.000363045
0.405,0.0532541,-0.000364278
0.41,0.0532523,-0.000365447
0.415,0.0532505,-0.000366563
0.42,0.0532486,-0.000367621
0.425,0.0532468,-0.00036863
0.43,0.0532449,-0.000369587
0.435,0.0532431,-0.0003705
0.44,0.0532412,-0.000371364
0.445,0.0532394,-0.000372188
0.45,0.0532375,-0.000372967
0.455,0.0532357,-0.000373711
0.46,0.0532338,-0.000374413
0.465,0.0532319,-0.000375083
0.47,0.05323,-0.000375716
0.475,0.0532282,-0.000376319
0.48,0.0532263,-0.000376888
0.485,0.0532244,-0.00037743
0.49,0.0532225,-0.00037794
0.495,0.0532206,-0.000378427
0.5,0.0532187,-0.000378885
0.505,0.0532168,-0.000379322
0.51,0.0532149,-0.000379732
0.515,0.053213,-0.000380122
0.52,0.0532111,-0.000380489
0.525,0.0532092,-0.000380838
0.53,0.0532073,-0.000381165
0.535,0.0532054,-0.000381476
0.54,0.0532035,-0.000381767
0.545,0.0532016,-0.000382044
0.55,0.0531997,-0.000382303
0.555,0.0531978,-0.000382549
0.56,0.0531958,-0.000382778
0.565,0.0531939,-0.000382995
0.57,0.053192,-0.000383197
0.575,0.0531901,-0.000383389
0.58,0.0531882,-0.000383567
0.585,0.0531863,-0.000383736
0.59,0.0531843,-0.000383892
0.595,0.0531824,-0.00038404
0.6,0.0531805,-0.000384176
0.605,0.0531786,-0.000384304
0.61,0.0531767,-0.000384422
0.615,0.0531747,-0.000384533
0.62,0.0531728,-0.000384635
0.625,0.0531709,-0.00038473
0.63,0.053169,-0.000384817
0.635,0.053167,-0.000384898
0.64,0.0531651,-0.000384971
0.645,0.0531632,-0.00038504
0.65,0.0531613,-0.000385101
0.655,0.0531593,-0.000385158
0.66,0.0531574,-0.000385207
0.665,0.0531555,-0.000385254
0.67,0.0531536,-0.000385293
0.675,0.0531516,-0.00038533
0.68,0.0531497,-0.000385361
0.685,0.0531478,-0.000385389
0.69,0.0531459,-0.000385411
0.695,0.0531439,-0.000385432
0.7,0.053142,-0.000385447
0.705,0.0531401,-0.00038546
0.71,0.0531382,-0.000385468
0.715,0.0531362,-0.000385475
0.72,0.0531343,-0.000385477
0.725,0.0531324,-0.000385478
0.73,0.0531304,-0.000385475
0.735,0.0531285,-0.00038547
0.74,0.0531266,-0.000385462
0.745,0.0531247,-0.000385453
0.75,0.0531227,-0.00038544
0.755,0.0531208,-0.000385426
0.76,0.0531189,-0.000385409
0.765,0.053117,-0.000385392
0.77,0.053115,-0.000385371
0.775,0.0531131,-0.00038535
0.78,0.0531112,-0.000385326
0.785,0.0531092,-0.000385302
0.79,0.0531073,-0.000385275
0.795,0.0531054,-0.000385248
0.8,0.0531035,-0.000385218
0.805,0.0531015,-0.000385189
0.81,0.0530996,-0.000385157
0.815,0.0530977,-0.000385124
0.82,0.0530958,-0.00038509
0.825,0.0530938,-0.000385056
0.83,0.0530919,-0.000385019
0.835,0.05309,-0.000384983
0.84,0.0530881,-0.000384945
0.845,0.0530861,-0.000384907
0.85,0.0530842,-0.000384867
0.855,0.0530823,-0.000384828
0.86,0.0530804,-0.000384786
0.865,0.0530784,-0.000384745
0.87,0.0530765,-0.000384702
0.875,0.0530746,-0.00038466
0.88,0.0530727,-0.000384616
0.885,0.0530707,-0.000384573
0.89,0.0530688,-0.000384528
0.895,0.0530669,-0.000384483
0.9,0.053065,-0.000384437
0.905,0.0530631,-0.000384392
0.91,0.0530611,-0.000384345
0.915,0.0530592,-0.000384298
0.92,0.0530573,-0.000384251
0.925,0.0530554,-0.000384204
0.93,0.0530535,-0.000384155
0.935,0.0530515,-0.000384107
0.94,0.0530496,-0.000384058
0.945,0.0530477,-0.00038401
0.95,0.0530458,-0.00038396
0.955,0.0530439,-0.000383911
0.96,0.0530419,-0.000383861
0.965,0.05304,-0.000383811
0.97,0.0530381,-0.00038376
0.975,0.0530362,-0.00038371
0.98,0.0530343,-0.000383659
0.985,0.0530323,-0.000383609
0.99,0.0530304,-0.000383557
0.995,0.0530285,-0.000383506
1,0.0530266,-0.000383455
