t,f1,f2
0,0.0533333,2.99538e-05
0.01,0.0533336,2.58975e-05
0.02,0.0533339,2.18728e-05
0.03,0.0533341,1.69621e-05
0.04,0.0533342,1.06255e-05
0.05,0.0533343,2.4406e-06
0.06,0.0533342,-7.55124e-06
0.07,0.0533341,-1.9405e-05
0.08,0.0533339,-3.27665e-05
0.09,0.0533335,-4.75353e-05
0.1,0.0533329,-6.32481e-05
0.11,0.0533322,-7.97798e-05
0.12,0.0533313,-9.66724e-05
0.13,0.0533303,-0.000113839
0.14,0.0533291,-0.000130881
0.15,0.0533277,-0.00014777
0.16,0.0533261,-0.00016418
0.17,0.0533244,-0.000180145
0.18,0.0533225,-0.000195408
0.19,0.0533205,-0.000210049
0.2,0.0533183,-0.000223872
0.21,0.053316,-0.00023699
0.22,0.0533136,-0.000249253
0.23,0.0533111,-0.000260795
0.24,0.0533084,-0.000271498
0.25,0.0533056,-0.000281507
0.26,0.0533028,-0.000290729
0.27,0.0532998,-0.00029931
0.28,0.0532968,-0.000307174
0.29,0.0532937,-0.000314461
0.3,0.0532905,-0.000321109
0.31,0.0532873,-0.000327252
0.32,0.053284,-0.000332832
0.33,0.0532806,-0.000337977
0.34,0.0532772,-0.000342634
0.35,0.0532738,-0.000346919
0.36,0.0532703,-0.000350786
0.37,0.0532667,-0.000354339
0.38,0.0532632,-0.000357534
0.39,0.0532596,-0.000360468
0.4,0.053256,-0.000363097
0.41,0.0532523,-0.00036551
0.42,0.0532487,-0.000367665
0.43,0.053245,-0.000369643
0.44,0.0532413,-0.000371402
0.45,0.0532375,-0.000373016
0.46,0.0532338,-0.000374446
0.47,0.0532301,-0.000375759
0.48,0.0532263,-0.000376915
0.49,0.0532225,-0.000377978
0.5,0.0532187,-0.000378909
0.51,0.0532149,-0.000379764
0.52,0.0532111,-0.000380509
0.53,0.0532073,-0.000381193
0.54,0.0532035,-0.000381784
0.55,0.0531997,-0.000382328
0.56,0.0531959,-0.000382792
0.57,0.053192,-0.000383219
0.58,0.0531882,-0.000383579
0.59,0.0531844,-0.000383911
0.6,0.0531805,-0.000384185
0.61,0.0531767,-0.000384439
0.62,0.0531728,-0.000384643
0.63,0.053169,-0.000384832
0.64,0.0531651,-0.000384978
0.65,0.0531613,-0.000385114
0.66,0.0531574,-0.000385213
0.67,0.0531536,-0.000385305
0.68,0.0531497,-0.000385365
0.69,0.0531459,-0.000385422
0.7,0.053142,-0.00038545
0.71,0.0531382,-0.000385477
0.72,0.0531343,-0.00038548
0.73,0.0531305,-0.000385483
0.74,0.0531266,-0.000385464
0.75,0.0531228,-0.000385447
0.76,0.0531189,-0.000385411
0.77,0.053115,-0.000385378
0.78,0.0531112,-0.000385328
0.79,0.0531073,-0.000385281
0.8,0.0531035,-0.000385219
0.81,0.0530996,-0.000385162
0.82,0.0530958,-0.000385091
0.83,0.0530919,-0.000385024
0.84,0.0530881,-0.000384945
0.85,0.0530842,-0.000384872
0.86,0.0530804,-0.000384786
0.87,0.0530765,-0.000384707
0.88,0.0530727,-0.000384616
0.89,0.0530688,-0.000384532
0.9,0.053065,-0.000384437
0.91,0.0530612,-0.000384348
0.92,0.0530573,-0.000384251
0.93,0.0530535,-0.000384159
0.94,0.0530496,-0.000384058
0.95,0.0530458,-0.000383963
0.96,0.053042,-0.000383861
0.97,0.0530381,-0.000383764
0.98,0.0530343,-0.000383659
0.99,0.0530304,-0.00038356
1,0.0530266,-0.000383454
