t,f1,f2
0,0.124988,-1
0.01,0.120691,-0.864888
0.02,0.117043,-0.868295
0.03,0.113696,-0.805117
0.04,0.110646,-0.807935
0.05,0.107807,-0.763088
0.06,0.105177,-0.765555
0.07,0.102712,-0.730023
0.08,0.100413,-0.73226
0.09,0.0982502,-0.702635
0.1,0.0962236,-0.704718
0.11,0.0943142,-0.679289
0.12,0.0925204,-0.681275
0.13,0.0908282,-0.659039
0.14,0.0892361,-0.660973
0.15,0.0877331,-0.641286
0.16,0.0863178,-0.643203
0.17,0.0849811,-0.625619
0.18,0.0837216,-0.627544
0.19,0.0825318,-0.611736
0.2,0.0814103,-0.613687
0.21,0.0803507,-0.599406
0.22,0.0793517,-0.601391
0.23,0.0784078,-0.588438
0.24,0.0775178,-0.590463
0.25,0.0766767,-0.578675
0.26,0.0758836,-0.580739
0.27,0.0751342,-0.569981
0.28,0.0744274,-0.57208
0.29,0.0737595,-0.562237
0.3,0.0731297,-0.564366
0.31,0.0725344,-0.555339
0.32,0.0719731,-0.557491
0.33,0.0714426,-0.549195
0.34,0.0709423,-0.551363
0.35,0.0704695,-0.543722
0.36,0.0700236,-0.545898
0.37,0.0696023,-0.538848
0.38,0.0692049,-0.541025
0.39,0.0688293,-0.534508
0.4,0.0684751,-0.536678
0.41,0.0681404,-0.530643
0.42,0.0678247,-0.532801
0.43,0.0675264,-0.527202
0.44,0.0672451,-0.529341
0.45,0.0669792,-0.524138
0.46,0.0667284,-0.526254
0.47,0.0664914,-0.521412
0.48,0.066268,-0.5235
0.49,0.0660568,-0.518985
0.5,0.0658576,-0.521041
0.51,0.0656693,-0.516826
0.52,0.0654918,-0.518847
0.53,0.065324,-0.514905
0.54,0.0651658,-0.516887
0.55,0.0650163,-0.513196
0.56,0.0648753,-0.515138
0.57,0.064742,-0.511676
0.58,0.0646163,-0.513575
0.59,0.0644975,-0.510324
0.6,0.0643855,-0.51218
0.61,0.0642796,-0.509122
0.62,0.0641798,-0.510933
0.63,0.0640855,-0.508054
0.64,0.0639965,-0.509819
0.65,0.0639124,-0.507105
0.66,0.0638331,-0.508824
0.67,0.0637581,-0.506261
0.68,0.0636875,-0.507934
0.69,0.0636206,-0.505512
0.7,0.0635577,-0.507139
0.71,0.0634981,-0.504847
0.72,0.063442,-0.506427
0.73,0.0633889,-0.504256
0.74,0.0633389,-0.505791
0.75,0.0632916,-0.503732
0.76,0.063247,-0.505221
0.77,0.0632048,-0.503267
0.78,0.0631651,-0.504712
0.79,0.0631275,-0.502855
0.8,0.0630921,-0.504255
0.81,0.0630586,-0.502489
0.82,0.063027,-0.503847
0.83,0.0629972,-0.502166
0.84,0.062969,-0.50348
0.85,0.0629424,-0.501879
0.86,0.0629174,-0.503152
0.87,0.0628936,-0.501625
0.88,0.0628713,-0.502858
0.89,0.0628502,-0.501401
0.9,0.0628303,-0.502594
0.91,0.0628114,-0.501202
0.92,0.0627937,-0.502357
0.93,0.0627769,-0.501027
0.94,0.0627611,-0.502145
0.95,0.0627461,-0.500873
0.96,0.062732,-0.501954
0.97,0.0627186,-0.500736
0.98,0.0627061,-0.501782
0.99,0.0626942,-0.500616
1,0.062683,-0.501628
