t,f1,f2
0,0.533333,0.299538
0.01,0.536161,0.266552
0.02,0.538668,0.231349
0.03,0.540796,0.186782
0.04,0.542432,0.131976
0.05,0.543479,0.0694273
0.06,0.543885,0.00568287
0.07,0.543656,-0.0558865
0.08,0.542834,-0.111214
0.09,0.541486,-0.160374
0.1,0.539679,-0.20201
0.11,0.537484,-0.2377
0.12,0.534963,-0.267017
0.13,0.53217,-0.291706
0.14,0.529154,-0.311519
0.15,0.525957,-0.327979
0.16,0.522613,-0.340828
0.17,0.519152,-0.351315
0.18,0.515599,-0.359153
0.19,0.511977,-0.365355
0.2,0.508302,-0.369613
0.21,0.504589,-0.372754
0.22,0.500853,-0.374466
0.23,0.497104,-0.37543
0.24,0.49335,-0.375337
0.25,0.489599,-0.374755
0.26,0.485858,-0.37339
0.27,0.482132,-0.371718
0.28,0.478426,-0.369461
0.29,0.474744,-0.367025
0.3,0.471088,-0.36415
0.31,0.467461,-0.361185
0.32,0.463866,-0.357889
0.33,0.460304,-0.354565
0.34,0.456776,-0.350989
0.35,0.453284,-0.347427
0.36,0.449829,-0.343674
0.37,0.44641,-0.339963
0.38,0.44303,-0.336106
0.39,0.439688,-0.332311
0.4,0.436384,-0.328404
0.41,0.43312,-0.324571
0.42,0.429894,-0.320652
0.43,0.426706,-0.316815
0.44,0.423558,-0.312913
0.45,0.420448,-0.309097
0.46,0.417376,-0.305233
0.47,0.414343,-0.301456
0.48,0.411347,-0.297644
0.49,0.40839,-0.29392
0.5,0.405469,-0.290171
0.51,0.402586,-0.28651
0.52,0.399739,-0.282831
0.53,0.396929,-0.279239
0.54,0.394155,-0.275637
0.55,0.391416,-0.27212
0.56,0.388712,-0.268598
0.57,0.386044,-0.265159
0.58,0.383409,-0.261719
0.59,0.380809,-0.25836
0.6,0.378242,-0.255004
0.61,0.375709,-0.251728
0.62,0.373208,-0.248457
0.63,0.370739,-0.245262
0.64,0.368303,-0.242076
0.65,0.365898,-0.238965
0.66,0.363524,-0.235864
0.67,0.36118,-0.232834
0.68,0.358867,-0.229817
0.69,0.356584,-0.226869
0.7,0.35433,-0.223936
0.71,0.352105,-0.221069
0.72,0.349908,-0.218217
0.73,0.34774,-0.21543
0.74,0.3456,-0.212659
0.75,0.343487,-0.209951
0.76,0.341401,-0.207259
0.77,0.339341,-0.204628
0.78,0.337308,-0.202014
0.79,0.335301,-0.199458
0.8,0.333319,-0.19692
0.81,0.331362,-0.194438
0.82,0.32943,-0.191974
0.83,0.327523,-0.189564
0.84,0.325639,-0.187174
0.85,0.323779,-0.184834
0.86,0.321942,-0.182514
0.87,0.320129,-0.180244
0.88,0.318338,-0.177992
0.89,0.316569,-0.175789
0.9,0.314822,-0.173605
0.91,0.313096,-0.171467
0.92,0.311392,-0.169348
0.93,0.309709,-0.167274
0.94,0.308047,-0.165218
0.95,0.306405,-0.163206
0.96,0.304783,-0.161212
0.97,0.303181,-0.159259
0.98,0.301598,-0.157325
0.99,0.300034,-0.155431
1,0.298489,-0.153555
