t,f1,f2
0,0.533333,0.299538
0.02,0.527735,0.24097
0.04,0.514501,0.196143
0.06,0.499142,0.161357
0.08,0.481893,0.133689
0.1,0.464222,0.111222
0.12,0.446107,0.0927221
0.14,0.428184,0.0773582
0.16,0.410388,0.0645388
0.18,0.39305,0.0538186
0.2,0.376095,0.044847
0.22,0.359708,0.0373402
0.24,0.343816,0.0310633
0.26,0.328529,0.0258198
0.28,0.313778,0.0214442
0.3,0.299629,0.0177971
0.32,0.286022,0.0147603
0.34,0.272995,0.0122343
0.36,0.260496,0.0101351
0.38,0.248545,0.00839208
0.4,0.237097,0.00694587
0.42,0.226161,0.00574677
0.44,0.215698,0.00475312
0.46,0.205709,0.00393016
0.48,0.196161,0.00324888
0.5,0.18705,0.00268512
0.52,0.178346,0.00221877
0.54,0.170044,0.00183311
0.56,0.162118,0.00151427
0.58,0.154558,0.00125074
0.6,0.147344,0.00103295
0.62,0.140464,0.000853015
0.64,0.133901,0.000704362
0.66,0.127643,0.000581575
0.68,0.121675,0.000480163
0.7,0.115984,0.000396415
0.72,0.110558,0.000327258
0.74,0.105384,0.000270156
0.76,0.100452,0.000223009
0.78,0.0957486,0.000184085
0.8,0.0912665,0.000151951
0.82,0.0869917,0.000125424
0.84,0.0829188,0.000103525
0.86,0.0790339,8.54487e-05
0.88,0.0753332,7.05274e-05
0.9,0.0718028,5.82113e-05
0.92,0.0684405,4.80451e-05
0.94,0.0652324,3.96542e-05
0.96,0.0621778,3.27283e-05
0.98,0.0592627,2.70121e-05
1,0.0564877,2.22939e-05
