\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.404612,0.386147,0.331916,0.245403,0.132412,0
0.2,0.337975,0.322976,0.278819,0.207871,0.11362,0
0.3,0.299635,0.286806,0.248802,0.186977,0.103298,0
0.4,0.277985,0.26639,0.231876,0.175209,0.0975004,0
0.5,0.265777,0.254878,0.222333,0.168574,0.0942274,0
0.6,0.258895,0.248388,0.216953,0.164834,0.0923834,0
0.7,0.255015,0.244729,0.21392,0.162725,0.091344,0
0.8,0.252827,0.242666,0.21221,0.161536,0.0907574,0
0.9,0.251594,0.241503,0.211246,0.160866,0.0904273,0
1,0.250899,0.240847,0.210702,0.160488,0.0902407,0
