t,x1,x2
0,0.606531,0
0.01,0.606561,0.00606561
0.02,0.606652,0.012133
0.03,0.606804,0.0182041
0.04,0.607016,0.0242806
0.05,0.607289,0.0303645
0.06,0.607623,0.0364574
0.07,0.608018,0.0425613
0.08,0.608475,0.048678
0.09,0.608992,0.0548093
0.1,0.609571,0.0609571
0.11,0.610211,0.0671232
0.12,0.610913,0.0733096
0.13,0.611678,0.0795181
0.14,0.612504,0.0857505
0.15,0.613393,0.0920089
0.16,0.614344,0.0982951
0.17,0.615359,0.104611
0.18,0.616436,0.110959
0.19,0.617578,0.11734
0.2,0.618783,0.123757
0.21,0.620053,0.130211
0.22,0.621388,0.136705
0.23,0.622787,0.143241
0.24,0.624253,0.149821
0.25,0.625784,0.156446
0.26,0.627382,0.163119
0.27,0.629047,0.169843
0.28,0.630779,0.176618
0.29,0.632579,0.183448
0.3,0.634448,0.190334
0.31,0.636386,0.19728
0.32,0.638394,0.204286
0.33,0.640472,0.211356
0.34,0.642621,0.218491
0.35,0.644842,0.225695
0.36,0.647135,0.232969
0.37,0.649502,0.240316
0.38,0.651942,0.247738
0.39,0.654457,0.255238
0.4,0.657047,0.262819
0.41,0.659713,0.270482
0.42,0.662457,0.278232
0.43,0.665278,0.28607
0.44,0.668178,0.293999
0.45,0.671158,0.302021
0.46,0.674219,0.310141
0.47,0.677362,0.31836
0.48,0.680587,0.326682
0.49,0.683896,0.335109
0.5,0.687289,0.343645
0.51,0.690769,0.352292
0.52,0.694336,0.361054
0.53,0.69799,0.369935
0.54,0.701735,0.378937
0.55,0.70557,0.388063
0.56,0.709496,0.397318
0.57,0.713516,0.406704
0.58,0.717631,0.416226
0.59,0.721841,0.425886
0.6,0.726149,0.435689
0.61,0.730556,0.445639
0.62,0.735062,0.455739
0.63,0.739671,0.465993
0.64,0.744383,0.476405
0.65,0.749199,0.48698
0.66,0.754123,0.497721
0.67,0.759154,0.508633
0.68,0.764296,0.519721
0.69,0.76955,0.530989
0.7,0.774916,0.542442
0.71,0.780399,0.554083
0.72,0.785999,0.565919
0.73,0.791718,0.577954
0.74,0.797559,0.590193
0.75,0.803523,0.602642
0.76,0.809612,0.615305
0.77,0.815829,0.628189
0.78,0.822177,0.641298
0.79,0.828656,0.654638
0.8,0.83527,0.668216
0.81,0.842021,0.682037
0.82,0.848912,0.696108
0.83,0.855944,0.710434
0.84,0.863121,0.725022
0.85,0.870446,0.739879
0.86,0.87792,0.755011
0.87,0.885547,0.770426
0.88,0.893329,0.78613
0.89,0.90127,0.802131
0.9,0.909373,0.818436
0.91,0.91764,0.835053
0.92,0.926075,0.851989
0.929498,0.934245,0.868379
0.938996,0.942572,0.885071
0.948494,0.951059,0.902073
0.957992,0.959708,0.919393
0.96749,0.968524,0.937038
0.976988,0.977509,0.955015
0.986486,0.986667,0.973333
0.995984,0.996,0.992
1,1,1
