t,f1,f2
0,0.0533333,2.99538e-05
0.01,0.0533336,2.95224e-05
0.02,0.0533339,2.90991e-05
0.03,0.0533342,2.86837e-05
0.04,0.0533345,2.82761e-05
0.05,0.0533348,2.7876e-05
0.06,0.0533351,2.74832e-05
0.07,0.0533353,2.70976e-05
0.08,0.0533356,2.6719e-05
0.09,0.0533359,2.63471e-05
0.1,0.0533361,2.59817e-05
0.11,0.0533364,2.56226e-05
0.12,0.0533366,2.52697e-05
0.13,0.0533369,2.49227e-05
0.14,0.0533371,2.45814e-05
0.15,0.0533374,2.42456e-05
0.16,0.0533376,2.39151e-05
0.17,0.0533379,2.35897e-05
0.18,0.0533381,2.32693e-05
0.19,0.0533383,2.29537e-05
0.2,0.0533386,2.26426e-05
0.21,0.0533388,2.2336e-05
0.22,0.053339,2.20335e-05
0.23,0.0533392,2.17352e-05
0.24,0.0533394,2.14407e-05
0.25,0.0533396,2.115e-05
0.26,0.0533399,2.08629e-05
0.27,0.0533401,2.05792e-05
0.28,0.0533403,2.02988e-05
0.29,0.0533405,2.00216e-05
0.3,0.0533407,1.97474e-05
0.31,0.0533409,1.94761e-05
0.32,0.0533411,1.92075e-05
0.33,0.0533412,1.89416e-05
0.34,0.0533414,1.86782e-05
0.35,0.0533416,1.84172e-05
0.36,0.0533418,1.81585e-05
0.37,0.053342,1.79019e-05
0.38,0.0533422,1.76475e-05
0.39,0.0533423,1.7395e-05
0.4,0.0533425,1.71445e-05
0.41,0.0533427,1.68957e-05
0.42,0.0533428,1.66486e-05
0.43,0.053343,1.64032e-05
0.44,0.0533432,1.61593e-05
0.45,0.0533433,1.59168e-05
0.46,0.0533435,1.56757e-05
0.47,0.0533436,1.5436e-05
0.48,0.0533438,1.51975e-05
0.49,0.053344,1.49602e-05
0.5,0.0533441,1.4724e-05
0.51,0.0533442,1.44889e-05
0.52,0.0533444,1.42548e-05
0.53,0.0533445,1.40216e-05
0.54,0.0533447,1.37893e-05
0.55,0.0533448,1.35579e-05
0.56,0.0533449,1.33273e-05
0.57,0.0533451,1.30974e-05
0.58,0.0533452,1.28683e-05
0.59,0.0533453,1.26398e-05
0.6,0.0533455,1.2412e-05
0.61,0.0533456,1.21848e-05
0.62,0.0533457,1.19582e-05
0.63,0.0533458,1.17321e-05
0.64,0.0533459,1.15065e-05
0.65,0.0533461,1.12815e-05
0.66,0.0533462,1.10569e-05
0.67,0.0533463,1.08327e-05
0.68,0.0533464,1.0609e-05
0.69,0.0533465,1.03856e-05
0.7,0.0533466,1.01627e-05
0.71,0.0533467,9.94005e-06
0.72,0.0533468,9.71781e-06
0.73,0.0533469,9.49589e-06
0.74,0.053347,9.2743e-06
0.75,0.0533471,9.05302e-06
0.76,0.0533472,8.83205e-06
0.77,0.0533472,8.61136e-06
0.78,0.0533473,8.39096e-06
0.79,0.0533474,8.17084e-06
0.8,0.0533475,7.95099e-06
0.81,0.0533476,7.7314e-06
0.82,0.0533476,7.51208e-06
0.83,0.0533477,7.29302e-06
0.84,0.0533478,7.07421e-06
0.85,0.0533479,6.85567e-06
0.86,0.0533479,6.63738e-06
0.87,0.053348,6.41934e-06
0.88,0.0533481,6.20157e-06
0.89,0.0533481,5.98405e-06
0.9,0.0533482,5.7668e-06
0.91,0.0533482,5.54981e-06
0.92,0.0533483,5.3331e-06
0.93,0.0533483,5.11665e-06
0.94,0.0533484,4.90048e-06
0.95,0.0533484,4.6846e-06
0.96,0.0533485,4.46901e-06
0.97,0.0533485,4.25371e-06
0.98,0.0533486,4.03871e-06
0.99,0.0533486,3.82402e-06
1,0.0533486,3.60964e-06
