t,x1,x2
0,1.75283e-06,0
0.011196,1.76383e-06,1.96665e-06
0.0223919,1.79696e-06,3.95847e-06
0.0335879,1.85266e-06,6.00101e-06
0.0447838,1.93162e-06,8.1205e-06
0.0559798,2.03488e-06,1.03443e-05
0.0671757,2.16375e-06,1.27011e-05
0.0783717,2.31989e-06,1.52218e-05
0.0895676,2.50533e-06,1.79392e-05
0.100764,2.72245e-06,2.08891e-05
0.11196,2.97409e-06,2.41108e-05
0.123155,3.26351e-06,2.76472e-05
0.134351,3.59451e-06,3.1546e-05
0.145547,3.97143e-06,3.58599e-05
0.156743,4.39925e-06,4.06479e-05
0.167939,4.88363e-06,4.59759e-05
0.179135,5.43103e-06,5.19178e-05
0.190331,6.04877e-06,5.85566e-05
0.201527,6.74517e-06,6.59858e-05
0.211963,7.47337e-06,7.37147e-05
0.222398,8.28669e-06,8.23179e-05
0.232833,9.19482e-06,9.19031e-05
0.242573,1.01375e-05,0.000101842
0.252312,1.11821e-05,0.000112851
0.262052,1.23396e-05,0.000125053
0.271164,1.35357e-05,0.000137672
0.280277,1.48526e-05,0.00015158
0.289389,1.63025e-05,0.000166915
0.297938,1.77961e-05,0.000182738
0.306488,1.94314e-05,0.000200094
0.315037,2.12222e-05,0.000219138
0.32308,2.30624e-05,0.000238749
0.331122,2.50675e-05,0.000260162
0.339165,2.72526e-05,0.000283553
0.346752,2.94937e-05,0.000307597
0.354338,3.1925e-05,0.000333745
0.361925,3.45633e-05,0.000362185
0.369098,3.72649e-05,0.000391378
0.376272,4.01844e-05,0.000423002
0.383446,4.33402e-05,0.000457268
0.390245,4.65671e-05,0.000492393
0.397044,5.00422e-05,0.000530309
0.403843,5.37853e-05,0.000571249
0.410301,5.76081e-05,0.000613163
0.416759,6.17118e-05,0.000658263
0.423217,6.61177e-05,0.000706802
0.429675,7.08489e-05,0.000759052
0.435738,7.56089e-05,0.000811745
0.441801,8.06997e-05,0.000868233
0.447864,8.61452e-05,0.000928799
0.453927,9.19711e-05,0.00099375
0.459622,9.78146e-05,0.00105905
0.465318,0.000104043,0.0011288
0.471013,0.000110681,0.00120333
0.476708,0.000117759,0.00128296
0.482072,0.000124853,0.00136296
0.487435,0.000132389,0.00144813
0.492799,0.000140397,0.00153884
0.498163,0.000148907,0.00163545
0.503228,0.000157434,0.00173246
0.508293,0.000166468,0.00183544
0.513358,0.000176038,0.00194479
0.518423,0.00018618,0.00206091
0.523219,0.00019634,0.00217748
0.528014,0.000207075,0.00230091
0.53281,0.00021842,0.0024316
0.537605,0.000230409,0.00257002
0.542156,0.000242418,0.00270894
0.546707,0.000255077,0.00285566
0.551258,0.000268422,0.00301065
0.555809,0.000282493,0.00317438
0.56036,0.000297329,0.00334738
0.564643,0.000312032,0.00351915
0.568927,0.000327491,0.00370009
0.57321,0.000343745,0.0038907
0.577494,0.000360837,0.00409152
0.581777,0.000378812,0.00430312
0.585813,0.0003966,0.00451289
0.58985,0.000415256,0.00473331
0.593886,0.000434823,0.00496492
0.597922,0.000455349,0.00520831
0.601958,0.000476883,0.00546411
0.60577,0.000498195,0.00571772
0.609583,0.000520497,0.00598358
0.613396,0.000543836,0.0062623
0.617208,0.000568264,0.00655451
0.621021,0.000593833,0.0068609
0.624631,0.00061915,0.00716479
0.628242,0.000645589,0.00748267
0.631853,0.000673202,0.00781522
0.635463,0.000702044,0.00816314
0.639074,0.00073217,0.00852716
0.642501,0.000762012,0.00888833
0.645929,0.00079312,0.00926542
0.649357,0.000825548,0.00965913
0.652784,0.000859356,0.0100702
0.656212,0.000894603,0.0104996
0.65964,0.000931355,0.0109479
0.662874,0.000967472,0.0113892
0.666108,0.00100505,0.011849
0.669343,0.00104414,0.012328
0.672577,0.00108481,0.0128273
0.675811,0.00112714,0.0133475
0.679046,0.00117118,0.0138897
0.682101,0.00121443,0.014423
0.685157,0.00125935,0.0149775
0.688213,0.00130599,0.0155543
0.691269,0.00135444,0.0161541
0.694325,0.00140475,0.0167779
0.697381,0.001457,0.0174268
0.700275,0.00150836,0.0180655
0.703169,0.00156159,0.0187284
0.706063,0.00161679,0.0194166
0.708957,0.00167401,0.0201311
0.711851,0.00173334,0.0208729
0.714746,0.00179485,0.0216432
0.717493,0.00185536,0.0224017
0.720241,0.00191798,0.0231879
0.722988,0.0019828,0.0240028
0.725736,0.00204991,0.0248474
0.728483,0.00211937,0.0257229
0.731231,0.00219129,0.0266305
0.733979,0.00226574,0.0275713
0.736575,0.00233852,0.0284921
0.739171,0.00241372,0.0294449
0.741768,0.00249145,0.0304308
0.744364,0.00257178,0.0314509
0.746961,0.0026548,0.0325066
0.749557,0.00274061,0.0335991
0.752153,0.00282931,0.0347298
0.754611,0.00291599,0.0358362
0.757068,0.00300544,0.0369792
0.759525,0.00309775,0.0381601
0.761982,0.003193,0.0393801
0.764439,0.0032913,0.0406407
0.766896,0.00339275,0.0419432
0.769353,0.00349746,0.043289
0.771684,0.00359988,0.0446071
0.774015,0.00370542,0.0459668
0.776345,0.00381418,0.0473696
0.778676,0.00392626,0.0488168
0.781007,0.00404177,0.05031
0.783337,0.00416082,0.0518506
0.785668,0.00428351,0.0534402
0.787999,0.00440996,0.0550804
0.790202,0.00453304,0.0566785
0.792404,0.00465969,0.0583248
0.794607,0.00479002,0.0600208
0.79681,0.00492414,0.0617679
0.799012,0.00506217,0.0635679
0.801215,0.00520423,0.0654223
0.803418,0.00535043,0.0673329
0.805621,0.0055009,0.0693015
0.807706,0.00564739,0.0712199
0.809791,0.00579794,0.0731935
0.811876,0.00595267,0.0752239
0.813961,0.00611168,0.0773128
0.816046,0.00627512,0.0794618
0.818131,0.0064431,0.0816729
0.820216,0.00661576,0.0839478
0.822301,0.00679323,0.0862885
0.82428,0.00696619,0.0885721
0.826258,0.00714374,0.0909184
0.828237,0.00732599,0.0933292
0.830215,0.00751307,0.0958063
0.832194,0.00770513,0.0983517
0.834172,0.00790229,0.100967
0.836151,0.00810469,0.103655
0.838129,0.00831249,0.106417
0.840107,0.00852582,0.109255
0.841979,0.0087329,0.112013
0.843851,0.0089452,0.114843
0.845723,0.00916287,0.117747
0.847595,0.00938605,0.120727
0.849466,0.00961488,0.123786
0.851338,0.00984951,0.126925
0.85321,0.0100901,0.130146
0.855082,0.0103368,0.133453
0.856954,0.0105897,0.136846
0.858728,0.0108354,0.140145
0.860502,0.011087,0.143526
0.862276,0.0113447,0.146992
0.864049,0.0116086,0.150544
0.865823,0.0118788,0.154186
0.867597,0.0121556,0.157919
0.869371,0.0124392,0.161746
0.871145,0.0127295,0.165668
0.872919,0.013027,0.16969
0.874693,0.0133316,0.173813
0.87637,0.0136265,0.177806
0.878047,0.0139281,0.181894
0.879724,0.0142366,0.18608
0.881401,0.0145522,0.190366
0.883078,0.0148752,0.194754
0.884755,0.0152055,0.199246
0.886432,0.0155435,0.203847
0.888109,0.0158893,0.208557
0.889786,0.0162431,0.213381
0.891463,0.0166051,0.21832
0.893052,0.0169556,0.223107
0.89464,0.0173139,0.228003
0.896228,0.01768,0.23301
0.897817,0.0180541,0.238131
0.899405,0.0184365,0.243369
0.900994,0.0188273,0.248727
0.902582,0.0192267,0.254206
0.90417,0.0196349,0.259811
0.905759,0.0200521,0.265544
0.907347,0.0204786,0.271408
0.908855,0.0208921,0.277099
0.910363,0.0213143,0.282914
0.911871,0.0217454,0.288856
0.913379,0.0221855,0.294926
0.914887,0.0226349,0.301129
0.916395,0.0230937,0.307467
0.917902,0.0235623,0.313944
0.91941,0.0240406,0.320562
0.920918,0.0245291,0.327324
0.922426,0.0250279,0.334234
0.923934,0.0255372,0.341296
0.925363,0.0260297,0.34813
0.926792,0.0265322,0.355106
0.928221,0.0270447,0.362227
0.92965,0.0275675,0.369496
0.931079,0.0281008,0.376916
0.932508,0.0286448,0.38449
0.933937,0.0291997,0.392222
0.935366,0.0297658,0.400115
0.936795,0.0303433,0.408173
0.938224,0.0309324,0.416399
0.939653,0.0315334,0.424797
0.941009,0.0321152,0.432931
0.942366,0.0327081,0.441226
0.943723,0.0333123,0.449686
0.945079,0.0339282,0.458314
0.946436,0.0345558,0.467114
0.947792,0.0351956,0.476089
0.949149,0.0358476,0.485242
0.950505,0.0365121,0.494577
0.951862,0.0371895,0.504099
0.953218,0.0378799,0.51381
0.954575,0.0385836,0.523715
0.955931,0.0393008,0.533818
0.957217,0.0399935,0.54358
0.958503,0.0406988,0.553527
0.959789,0.041417,0.563663
0.961074,0.0421483,0.57399
0.96236,0.0428931,0.584514
0.963646,0.0436515,0.595237
0.964932,0.0444239,0.606164
0.966218,0.0452104,0.617299
0.967503,0.0460114,0.628646
0.968789,0.0468271,0.640208
0.970075,0.0476578,0.651991
0.971361,0.0485038,0.663998
0.972582,0.0493216,0.675611
0.973802,0.0501536,0.687435
0.975023,0.0510002,0.699472
0.976244,0.0518617,0.711728
0.977465,0.0527382,0.724206
0.978686,0.0536301,0.736911
0.979907,0.0545377,0.749846
0.981128,0.0554612,0.763016
0.982349,0.0564009,0.776426
0.98357,0.0573572,0.79008
0.984791,0.0583302,0.803982
0.986011,0.0593204,0.818137
0.987232,0.0603281,0.832551
0.98839,0.0613001,0.846463
0.989548,0.0622883,0.860616
0.990706,0.0632931,0.875013
0.991864,0.0643147,0.88966
0.993022,0.0653535,0.904561
0.99418,0.0664096,0.91972
0.995337,0.0674834,0.935141
0.996495,0.0685752,0.950831
0.997653,0.0696854,0.966792
0.998811,0.0708142,0.983031
0.999969,0.0719619,0.999553
1,0.071993,1
