\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.403706,0.385313,0.331263,0.244997,0.132189,0
0.2,0.337046,0.322102,0.278098,0.207375,0.113372,0
0.3,0.298858,0.286073,0.248195,0.186555,0.103094,0
0.4,0.277402,0.26584,0.231421,0.174892,0.0973428,0
0.5,0.265368,0.254492,0.222013,0.168352,0.094118,0
0.6,0.258619,0.248127,0.216737,0.164684,0.0923095,0
0.7,0.254834,0.244558,0.213778,0.162627,0.0912952,0
0.8,0.252711,0.242556,0.212119,0.161473,0.0907264,0
0.9,0.25152,0.241434,0.211188,0.160826,0.0904074,0
1,0.250853,0.240804,0.210666,0.160463,0.0902285,0
