t,f1,f2
0,0.0533333,2.99538e-05
0.02,0.0533339,2.90993e-05
0.04,0.0533345,2.82764e-05
0.06,0.0533351,2.74837e-05
0.08,0.0533356,2.67196e-05
0.1,0.0533361,2.59824e-05
0.12,0.0533366,2.52705e-05
0.14,0.0533371,2.45823e-05
0.16,0.0533376,2.39162e-05
0.18,0.0533381,2.32705e-05
0.2,0.0533386,2.26439e-05
0.22,0.053339,2.20349e-05
0.24,0.0533394,2.14422e-05
0.26,0.0533399,2.08645e-05
0.28,0.0533403,2.03005e-05
0.3,0.0533407,1.97491e-05
0.32,0.0533411,1.92094e-05
0.34,0.0533414,1.86801e-05
0.36,0.0533418,1.81605e-05
0.38,0.0533422,1.76496e-05
0.4,0.0533425,1.71467e-05
0.42,0.0533428,1.66509e-05
0.44,0.0533432,1.61616e-05
0.46,0.0533435,1.56782e-05
0.48,0.0533438,1.52001e-05
0.5,0.0533441,1.47267e-05
0.52,0.0533444,1.42575e-05
0.54,0.0533447,1.37921e-05
0.56,0.0533449,1.33302e-05
0.58,0.0533452,1.28713e-05
0.6,0.0533455,1.24151e-05
0.62,0.0533457,1.19614e-05
0.64,0.0533459,1.15098e-05
0.66,0.0533462,1.10602e-05
0.68,0.0533464,1.06124e-05
0.7,0.0533466,1.01662e-05
0.72,0.0533468,9.72143e-06
0.74,0.053347,9.27802e-06
0.76,0.0533472,8.83585e-06
0.78,0.0533473,8.39486e-06
0.8,0.0533475,7.95497e-06
0.82,0.0533476,7.51615e-06
0.84,0.0533478,7.07837e-06
0.86,0.0533479,6.64162e-06
0.88,0.0533481,6.2059e-06
0.9,0.0533482,5.77121e-06
0.92,0.0533483,5.33759e-06
0.94,0.0533484,4.90506e-06
0.96,0.0533485,4.47367e-06
0.98,0.0533486,4.04345e-06
1,0.0533486,3.61447e-06
