\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.5,0.48,0.42,0.32,0.18,0
0.1,0.403918,0.385516,0.331437,0.245123,0.132253,0
0.2,0.337297,0.322339,0.278294,0.207512,0.11344,0
0.3,0.299069,0.286273,0.248361,0.18667,0.103151,0
0.4,0.277561,0.26599,0.231545,0.174978,0.0973853,0
0.5,0.265479,0.254597,0.2221,0.168412,0.0941478,0
0.6,0.258694,0.248198,0.216796,0.164725,0.0923295,0
0.7,0.254883,0.244604,0.213817,0.162653,0.0913083,0
0.8,0.252742,0.242586,0.212144,0.16149,0.0907348,0
0.9,0.25154,0.241452,0.211204,0.160837,0.0904127,0
1,0.250865,0.240816,0.210676,0.16047,0.0902318,0
