\(t\),\({x=0.0}\),\({x=0.2}\),\({x=0.4}\),\({x=0.6}\),\({x=0.8}\),\({x=1.0}\)
0.0,nan,nan,nan,nan,nan,nan
0.1,3.999983,3.999809,3.992731,4.056961,3.995538,2.077105
0.2,3.999678,3.998456,3.999551,4.06514,4.000491,4.058094
0.3,3.999034,3.998913,4.000864,3.980574,4.001587,3.965346
0.4,3.998921,3.99931,4.001206,3.993804,4.001616,4.005534
0.5,3.999068,3.999539,4.001259,3.997389,4.001523,3.999438
0.6,3.999272,3.999695,4.001141,3.998957,4.001434,4.002182
0.7,3.999471,3.999814,4.000945,3.999817,4.001363,4.001444
0.8,3.999647,3.999909,4.000728,4.000364,4.001315,4.001602
0.9,3.999798,3.999988,4.00052,4.000755,4.00129,4.001445
1.0,3.999925,4.000056,4.000335,4.001054,4.001283,4.001414
