t,f1,f2
0,0.124988,-1
0.01,0.120671,-0.864559
0.02,0.117008,-0.867997
0.03,0.113648,-0.804665
0.04,0.110587,-0.807515
0.05,0.107738,-0.762559
0.06,0.1051,-0.76506
0.07,0.102629,-0.729441
0.08,0.100324,-0.731713
0.09,0.0981561,-0.702016
0.1,0.0961254,-0.704136
0.11,0.0942125,-0.678645
0.12,0.092416,-0.680669
0.13,0.0907216,-0.658381
0.14,0.089128,-0.660353
0.15,0.0876239,-0.640622
0.16,0.086208,-0.642578
0.17,0.084871,-0.624955
0.18,0.0836117,-0.626921
0.19,0.0824223,-0.61108
0.2,0.0813016,-0.613072
0.21,0.0802429,-0.598762
0.22,0.0792452,-0.60079
0.23,0.0783027,-0.587812
0.24,0.0774143,-0.589879
0.25,0.076575,-0.57807
0.26,0.0757837,-0.580176
0.27,0.0750363,-0.569399
0.28,0.0743316,-0.571541
0.29,0.0736658,-0.56168
0.3,0.0730382,-0.563851
0.31,0.0724452,-0.554809
0.32,0.0718861,-0.557002
0.33,0.071358,-0.548692
0.34,0.07086,-0.5509
0.35,0.0703895,-0.543247
0.36,0.069946,-0.545462
0.37,0.0695269,-0.5384
0.38,0.0691318,-0.540615
0.39,0.0687585,-0.534086
0.4,0.0684066,-0.536294
0.41,0.0680741,-0.530248
0.42,0.0677607,-0.532441
0.43,0.0674645,-0.526832
0.44,0.0671853,-0.529006
0.45,0.0669214,-0.523793
0.46,0.0666727,-0.525943
0.47,0.0664377,-0.52109
0.48,0.0662162,-0.523211
0.49,0.0660068,-0.518686
0.5,0.0658095,-0.520773
0.51,0.065623,-0.516548
0.52,0.0654473,-0.518599
0.53,0.0652812,-0.514647
0.54,0.0651246,-0.516658
0.55,0.0649766,-0.512957
0.56,0.0648372,-0.514927
0.57,0.0647054,-0.511455
0.58,0.0645812,-0.513381
0.59,0.0644638,-0.51012
0.6,0.0643531,-0.512001
0.61,0.0642485,-0.508934
0.62,0.06415,-0.510769
0.63,0.0640568,-0.50788
0.64,0.0639691,-0.509669
0.65,0.0638861,-0.506944
0.66,0.0638079,-0.508686
0.67,0.063734,-0.506113
0.68,0.0636643,-0.507808
0.69,0.0635985,-0.505376
0.7,0.0635364,-0.507023
0.71,0.0634778,-0.504722
0.72,0.0634225,-0.506322
0.73,0.0633703,-0.504141
0.74,0.0633211,-0.505695
0.75,0.0632745,-0.503626
0.76,0.0632307,-0.505134
0.77,0.0631892,-0.50317
0.78,0.0631502,-0.504632
0.79,0.0631132,-0.502766
0.8,0.0630785,-0.504183
0.81,0.0630456,-0.502408
0.82,0.0630146,-0.503781
0.83,0.0629853,-0.50209
0.84,0.0629577,-0.503421
0.85,0.0629316,-0.50181
0.86,0.062907,-0.503099
0.87,0.0628837,-0.501562
0.88,0.0628619,-0.502809
0.89,0.0628411,-0.501343
0.9,0.0628216,-0.50255
0.91,0.0628032,-0.501149
0.92,0.0627858,-0.502318
0.93,0.0627694,-0.500978
0.94,0.0627539,-0.502109
0.95,0.0627393,-0.500828
0.96,0.0627255,-0.501921
0.97,0.0627124,-0.500695
0.98,0.0627002,-0.501753
0.99,0.0626885,-0.500578
1,0.0626776,-0.501602
