\(t\),\(\left.u\right\vert_{x=0.0}\),\(\left.u\right\vert_{x=0.2}\),\(\left.u\right\vert_{x=0.4}\),\(\left.u\right\vert_{x=0.6}\),\(\left.u\right\vert_{x=0.8}\),\(\left.u\right\vert_{x=1.0}\)
0,0.1,0.09216,0.07056,0.04096,0.01296,0
0.1,0.0716015,0.0681368,0.0590327,0.0477127,0.0385008,0.0349806
0.2,0.0601401,0.0588397,0.0554337,0.0512185,0.0477954,0.0464539
0.3,0.0558552,0.0553689,0.0540938,0.0525101,0.0512109,0.050677
0.4,0.0542457,0.0540609,0.0535746,0.0529642,0.052449,0.0522032
0.5,0.0536263,0.053553,0.0533582,0.0531076,0.0528822,0.0527488
0.6,0.0533728,0.0533408,0.0532538,0.0531362,0.0530179,0.052922
0.7,0.0532547,0.0532379,0.0531907,0.0531223,0.0530438,0.0529648
0.8,0.0531866,0.0531754,0.0531431,0.0530929,0.0530291,0.0529543
0.9,0.0531371,0.053128,0.0531012,0.0530578,0.0529996,0.0529282
1,0.0530945,0.0530862,0.0530614,0.0530207,0.0529646,0.0528932
