\(t\),\({x=0.0}\),\({x=0.2}\),\({x=0.4}\),\({x=0.6}\),\({x=0.8}\),\({x=1.0}\)
0.0,nan,nan,nan,nan,nan,nan
0.1,4.086022,4.216867,5.15625,3.494737,3.7251,5.008929
0.2,4.581818,5.15625,2.3,3.535211,3.6,3.769231
0.3,8.714286,inf,1.866667,3.148148,3.448276,7.363636
0.4,-0.571429,0.375,1.727273,2.461538,2.75,6.0
0.5,0.9,1.111111,1.555556,1.666667,2.142857,7.5
0.6,1.111111,1.111111,1.25,1.571429,1.5,4.0
0.7,1.285714,1.285714,1.5,1.333333,1.75,3.0
0.8,1.333333,1.0,1.166667,1.2,1.5,3.5
0.9,1.2,1.2,1.2,1.0,1.333333,3.0
1.0,1.5,1.0,1.25,1.0,1.333333,6.0
